year_month,monthly_count,monthly_avg_mag,monthly_max_mag,date,count_lag_1,avg_mag_lag_1,max_mag_lag_1,count_lag_3,avg_mag_lag_3,max_mag_lag_3,count_lag_6,avg_mag_lag_6,max_mag_lag_6,count_roll_3,avg_mag_roll_3,max_mag_roll_3,count_roll_6,avg_mag_roll_6,max_mag_roll_6,month,month_sin,month_cos,next_month_count,next_month_max_mag
1987-04,1,4.1,4.1,1987-04-01,1.0,5.0,5.0,11.0,4.845454545454545,6.2,2.0,4.15,4.2,1.0,4.566666666666666,4.566666666666666,2.8333333333333335,4.649242424242424,4.883333333333333,4,0.8660254037844387,-0.4999999999999998,2.0,4.6
1987-05,2,4.55,4.6,1987-05-01,1.0,4.1,4.1,1.0,4.6,4.6,2.0,4.55,4.6,1.3333333333333333,4.55,4.566666666666666,2.8333333333333335,4.649242424242424,4.883333333333333,5,0.49999999999999994,-0.8660254037844387,1.0,4.6
1987-09,1,4.6,4.6,1987-09-01,2.0,4.55,4.6,1.0,5.0,5.0,1.0,4.8,4.8,1.3333333333333333,4.416666666666666,4.433333333333333,2.8333333333333335,4.615909090909091,4.85,9,-1.0,-1.8369701987210297e-16,2.0,4.8
1988-01,2,4.699999999999999,4.8,1988-01-01,1.0,4.6,4.6,1.0,4.1,4.1,11.0,4.845454545454545,6.2,1.6666666666666667,4.616666666666666,4.666666666666667,1.3333333333333333,4.591666666666666,4.616666666666666,1,0.49999999999999994,0.8660254037844387,3.0,4.5
1988-03,3,4.5,4.5,1988-03-01,2.0,4.699999999999999,4.8,2.0,4.55,4.6,1.0,4.6,4.6,2.0,4.6,4.633333333333333,1.6666666666666667,4.574999999999999,4.6000000000000005,3,1.0,6.123233995736766e-17,1.0,4.9
1988-05,1,4.9,4.9,1988-05-01,3.0,4.5,4.5,1.0,4.6,4.6,1.0,5.0,5.0,2.0,4.7,4.733333333333333,1.6666666666666667,4.558333333333333,4.583333333333333,5,0.49999999999999994,-0.8660254037844387,1.0,5.7
1988-06,1,5.7,5.7,1988-06-01,1.0,4.9,4.9,2.0,4.699999999999999,4.8,1.0,4.1,4.1,1.6666666666666667,5.033333333333334,5.033333333333333,1.6666666666666667,4.825,4.8500000000000005,6,1.2246467991473532e-16,-1.0,1.0,4.9
1988-11,1,4.9,4.9,1988-11-01,1.0,5.7,5.7,3.0,4.5,4.5,2.0,4.55,4.6,1.0,5.166666666666667,5.166666666666667,1.5,4.883333333333334,4.8999999999999995,11,-0.5000000000000004,0.8660254037844384,2.0,4.8
1989-03,2,4.65,4.8,1989-03-01,1.0,4.9,4.9,1.0,4.9,4.9,1.0,4.6,4.6,1.3333333333333333,5.083333333333333,5.133333333333334,1.6666666666666667,4.891666666666667,4.933333333333334,3,1.0,6.123233995736766e-17,1.0,4.6
1989-05,1,4.6,4.6,1989-05-01,2.0,4.65,4.8,1.0,5.7,5.7,2.0,4.699999999999999,4.8,1.3333333333333333,4.716666666666668,4.766666666666667,1.5,4.875,4.8999999999999995,5,0.49999999999999994,-0.8660254037844387,2.0,4.4
